emp_code,emp_name,Email,phone,Department,Unit,Addres
1,Pintu Kumar,pintu@gmail.com,,HR,Acc,Rabinder
2,Pintu Kumar,pintu@gmail.com,,HR,,
3,Payroll HR North,dsfdf@gmail.com,,HR,,
4,Payroll HR North,dsfdf@gmail.com,,HR,,
5,ritu,dsfdf@gmail.com,444415512,HR,,
6,ABC,Abc@gmail.com,6205965130,HR,,
Soumadeep,S@gmail.com,54646789,HR,,,
Ashok Kumar,ashok@gmail.com,876456454,HR,,,
A987,kamal,kamal@gmail.com,9854545445,ACC,,
A456,Wasim Raja,wasimmail@gmail.com,7777777777,HR,,
A21785,Trishna,trishna.chatterjee@gmail.com,8372,HR,,
A12,Akash,akash@gmail.com,4544564,HR,,
A987,Payroll HR North,dsfdf@gmail.com,6205965130,HR,,
A987,Payroll HR North,dsfdf@gmail.com,6205965130,HR,,
A1547,Nabin Kumar,nabin@gmail.com,5984454544,HR-Acc,,
A897,"Kumar Sanu",sanu@gmail.com,689454,ACC
